,Ticker,Price,Market Capitalization,Number Of Shares to Buy
282,LEG,40.3,5584370246,49
283,LDOS,95.82,13199751582,20
284,LEN,101.62,29796037968,19
285,LNC,71.0,12515576074,27
286,LIN,327.71,166234204003,6
287,LYV,108.77,24396997603,18
288,LKQ,54.87,16103938122,36
289,LMT,387.96,108210431326,5
290,L,60.76,15059913474,32
291,LOW,239.56,158522796126,8
292,LUMN,12.6,12391269152,157
293,LYB,94.39,31976874256,21
294,MTB,171.24,21246165663,11
295,MRO,19.6,15781359765,101
296,MPC,73.8,45129289874,26
297,MKTX,361.86,13668407627,5
298,MAR,160.31,52045000790,12
299,MMC,162.58,79579502979,12
300,MLM,375.26,24094565680,5
301,MAS,63.7,15797405903,31
302,MA,351.24,344857815233,5
303,MTCH,115.1,31945475023,17
304,MKC,95.02,26048563507,20
305,MCD,257.2,193921518846,7
306,MCK,256.34,38000802463,7
307,MDT,105.85,142990627447,18
308,MRK,81.81,201590643304,24
309,MET,66.78,55470491226,29
310,MTD,1415.8,32766495391,1
311,MGM,43.39,20577724979,45
312,MCHP,73.05,41122026797,27
313,MU,81.73,92965538260,24
314,MSFT,302.27,2260995098878,6
315,MAA,204.23,23237212956,9
316,MRNA,154.25,63966628155,12
317,MHK,164.0,10931123500,12
318,TAP,50.33,10977756273,39
319,MDLZ,68.36,95888133445,29
320,MPWR,383.97,18136080960,5
321,MNST,89.76,47362940235,22
322,MCO,335.34,63228413398,5
323,MS,100.39,182498982375,19
324,MSI,245.22,40561273668,8
325,MSCI,494.56,42149035956,4
326,NDAQ,180.07,29555010356,11
327,NTAP,89.15,19057837583,22
328,NFLX,384.58,164345118945,5
329,NWL,24.47,10227956427,81
330,NEM,64.95,52590564691,30
331,NWSA,21.82,13053202607,90
332,NWS,22.41,13128799053,88
333,NEE,78.8,153007199217,25
334,NLSN,19.7,7190654397,100
335,NKE,148.71,237678749133,13
336,NI,28.48,10872498825,69
337,NSC,284.67,71132618601,6
338,NTRS,115.7,25112292688,17
339,NOC,410.45,66972485056,4
340,NLOK,25.6,15163809841,77
341,NCLH,20.81,4588590825,95
342,NRG,40.26,9961731445,49
343,NUE,95.88,27318916633,20
344,NVDA,225.79,571725541163,8
345,NVR,5283.57,18541395997,0
346,NXPI,196.38,52674792607,10
347,ORLY,659.36,43864043727,3
348,OXY,38.08,35109997928,52
349,ODFL,308.1,35483996081,6
350,OMC,76.13,16776345906,26
351,OKE,61.65,26825005651,32
352,ORCL,82.87,216499960637,23
353,OGN,32.23,7957674731,61
354,OTIS,83.05,36883872150,23
355,PCAR,94.2,33829462148,21
356,PKG,139.97,13381428316,14
357,PH,315.6,40249598927,6
358,PAYX,119.08,44553188164,16
359,PAYC,318.57,18838588349,6
360,PYPL,159.5,191256600272,12
361,PENN,44.24,7481131828,44
362,PNR,63.89,10584670717,31
363,PBCT,18.96,8157520505,104
364,PEP,175.29,241318935918,11
365,PKI,170.5,21702103416,11
366,PFE,53.77,307363871501,36
367,PM,103.33,160211060763,19
368,PSX,90.01,38492935094,22
369,PNW,72.06,8345145201,27
370,PXD,222.74,53257740595,8
371,PNC,213.4,88970289192,9
372,POOL,481.52,18707332497,4
373,PPG,158.04,38066211479,12
374,PPL,30.43,23798252631,65
375,PFG,74.41,19649337198,26
376,PG,163.43,401530723766,12
377,PGR,114.6,66218180134,17
378,PLD,156.54,117735111629,12
379,PRU,112.9,43100037924,17
380,PTC,116.44,13987898800,17
381,PEG,65.68,34212309814,30
382,PSA,360.0,63711814654,5
383,PHM,55.36,13453792759,35
384,PVH,94.64,6776105913,20
385,QRVO,133.81,14768040160,14
386,QCOM,167.95,190449552329,11
387,PWR,101.67,13926832646,19
388,DGX,141.62,17404143073,14
389,RL,111.3,7958312522,17
390,RJF,101.11,23919908764,19
391,RTX,93.07,135206057941,21
392,O,70.39,28775996131,28
393,REG,73.67,12509714824,26
394,REGN,608.61,64903538069,3
395,RF,23.7,22170171207,83
396,RSG,129.78,40068502866,15
397,RMD,240.23,34763980629,8
398,RHI,114.0,12430530556,17
399,ROK,316.29,35685558395,6
400,ROL,32.59,15543695163,60
401,ROP,435.96,45629430491,4
402,ROST,99.95,34606750354,19
403,RCL,81.94,20449374098,24
404,SPGI,413.69,97221003941,4
405,CRM,224.76,214541252185,8
406,SBAC,334.0,36272948524,5
407,SLB,38.88,56918120143,51
408,STX,97.98,21670009875,20
409,SEE,67.5,10009074497,29
410,SRE,138.44,43892507474,14
411,NOW,512.54,99420866703,3
412,SHW,308.23,77314964343,6
413,SPG,150.94,49724628896,13
414,SWKS,144.17,23594534040,13
415,SNA,219.19,11381741842,9
416,SO,67.93,71929501384,29
417,LUV,44.58,26157060750,44
418,SWK,178.96,29125951681,11
419,SBUX,98.5,116849023622,20
420,STT,97.22,34685272137,20
421,STE,230.77,22983449742,8
422,SYK,258.84,98260742415,7
423,SIVB,574.63,33504312510,3
424,SYF,48.2,25519981541,41
425,SNPS,302.44,45594694882,6
426,SYY,80.67,39981988970,24
427,TMUS,107.92,138201791062,18
428,TROW,157.69,35945775504,12
429,TTWO,165.66,18358616975,11
430,TPR,38.79,10656815133,51
431,TGT,224.94,103853836193,8
432,TEL,154.5,50627818274,12
433,TDY,417.04,19838794802,4
434,TFX,308.01,14572911049,6
435,TER,139.74,23033205376,14
436,TSLA,958.2,949054414580,2
437,TXN,177.79,166089617301,11
438,TXT,73.29,16026896211,27
439,COO,394.24,21618369174,5
440,HIG,71.0,24031888203,27
441,HSY,204.19,40914214677,9
442,MOS,41.1,15978924169,48
443,TRV,176.0,43016854996,11
444,DIS,137.45,257470038447,14
445,TMO,575.59,225684537576,3
446,TJX,70.84,85687907496,28
447,TSCO,214.02,25289903408,9
448,TT,176.95,42191617401,11
449,TDG,640.3,34638786753,3
450,TRMB,72.79,18274835255,27
451,TFC,64.35,86064476014,30
452,TWTR,34.59,27826989540,57
453,TYL,459.52,18476518032,4
454,TSN,92.45,33960760124,21
455,USB,59.38,88696177035,33
456,UDR,58.0,17842882258,34
457,ULTA,368.66,19669312525,5
458,UAA,19.4,7750723127,102
459,UA,16.58,8087665530,119
460,UNP,246.83,157677737513,8
461,UAL,43.72,13869685192,45
462,UPS,203.1,183118348860,9
463,URI,312.8,23027327504,6
464,UNH,476.37,432172278925,4
465,UHS,133.32,11248510711,14
466,VLO,82.04,33359462989,24
467,VTR,54.19,21252521082,36
468,VRSN,216.44,24481817102,9
469,VRSK,193.7,31290479916,10
470,VZ,54.0,229226696235,36
471,VRTX,237.03,60386006479,8
472,VFC,67.14,26400320630,29
473,VIAC,33.98,21748409245,58
474,VTRS,15.23,18244124340,130
475,V,203.0,453902975619,9
476,VNO,41.69,8234140555,47
477,VMC,189.78,24687409188,10
478,WRB,84.87,14834806985,23
479,GWW,487.24,25162780621,4
480,WAB,90.26,17379369995,21
481,WBA,51.56,44972179938,38
482,WMT,137.81,385112784193,14
483,WM,154.73,64325056195,12
484,WAT,317.61,19025744841,6
485,WEC,95.2,30338001486,20
486,WFC,53.9,229239795749,36
487,WELL,87.29,38558038063,22
488,WST,384.63,28535295214,5
489,WDC,56.35,17693417667,35
490,WU,18.8,7402577882,105
491,WRK,44.6,11947666048,44
492,WY,39.77,28836298148,49
493,WHR,216.73,12978045393,9
494,WMB,30.31,36901279035,65
495,WYNN,88.15,10194598292,22
496,XEL,69.36,38059029456,28
497,XLNX,177.24,45066487322,11
498,XYL,104.48,19042351920,18
499,YUM,122.74,37405949451,16
500,ZBRA,488.0,25538744813,4
501,ZBH,125.29,26362607050,15
502,ZION,69.64,10613187134,28
503,ZTS,196.75,96161066046,10
